date,incomes
2021-01-20,255198.27717817388
2021-01-21,255090.371982185
2021-01-22,255094.28727154055
2021-01-24,254135.34610383812
2021-01-25,254200.1096873582
2021-01-26,255244.36523354158
2021-01-27,254311.77570022657
2021-01-28,255424.65800822017
2021-01-29,255617.3946023092
2021-01-31,254805.3818767956
2021-02-01,254978.20461756014
2021-02-02,255150.41530826816
2021-02-03,255356.2689463185
2021-02-04,255986.42605042254
2021-02-05,256374.39971636335
2021-02-07,256843.47163447313
2021-02-08,257331.47041244028
2021-02-09,257908.47921090032
2021-02-10,258628.53801346998
2021-02-11,259285.72536584755
2021-02-12,260040.35876800804
2021-02-14,260840.55096339897
2021-02-15,261700.37348038837
2021-02-16,263018.6745469552
2021-02-17,264613.5153540382
2021-02-18,266109.47022784024
2021-02-19,267533.5635641925
2021-02-21,269007.305507841
2021-02-22,270538.4537363447
2021-02-23,272202.201101762
2021-02-24,273778.02836468106
2021-02-25,275457.50231899077
2021-02-26,277176.32699322386
2021-02-28,278839.0190108457
2021-03-01,280488.69278255943
2021-03-02,282199.3111205102
2021-03-03,283947.34541389195
2021-03-04,285761.87574617413
2021-03-05,288165.76076495124
2021-03-07,290430.25470834924
2021-03-08,292440.61090763495
2021-03-09,294119.4554460791
2021-03-10,295319.87815216975
2021-03-11,296522.87486193166
2021-03-12,297608.8338090768
2021-03-14,298736.75291376037
2021-03-15,299641.48069325165
2021-03-16,300000.0
2021-03-17,299884.26123124314
2021-03-18,299806.9035715099
2021-03-19,299775.24066541763
2021-03-21,299684.7572330488
2021-03-22,299666.74377632194
2021-03-23,299696.6667134547
2021-03-24,299752.37994834397
2021-03-25,299732.8845002224
2021-03-26,299514.1480558964
2021-03-28,299254.0207277554
2021-03-29,299017.3083473802
2021-03-30,298719.64443608257
2021-03-31,298411.49569398165
2021-04-01,297915.4724731661
2021-04-02,296838.3864888336
2021-04-04,295596.0393731006
2021-04-05,294281.56206574827
2021-04-06,292960.2519526394
2021-04-07,291791.88230579096
2021-04-08,290647.61595604965
2021-04-09,289457.1206527052
2021-04-11,288187.0581976067
2021-04-12,286972.49765091215
2021-04-13,285758.6163787851
2021-04-14,284394.75025146
2021-04-15,282975.6811236432
2021-04-16,281553.5647856241
